Timestamp (s)	Pitch Moment (Nm)	Belt Velocity (m/s)
1.0599	4.38272	1.62847
1.06989	-14.9486	1.62847
1.07991	10.8383	1.63378
1.08995	-13.1008	1.63378
1.09991	-8.48172	1.60587
1.10989	-8.81674	1.60587
1.11994	6.15057	1.61518
1.12993	14.3692	1.61518
1.13993	8.03778	1.6803
1.14989	29.6546	1.6803
1.15993	24.1179	1.83712
1.16991	22.1839	1.83712
1.17995	-11.4498	1.92705
1.1899	5.24662	1.92705
1.19993	-4.4226	1.8956
1.20993	-1.63966	1.8956
1.21998	6.84518	1.88674
1.22993	-20.64	1.88674
1.23994	-7.87673	1.83136
1.24994	-25.9898	1.83136
1.25993	-20.5206	1.70599
1.26994	-12.61	1.70599
1.27994	-3.39627	1.60056
1.28991	-1.17426	1.60056
1.29994	2.32931	1.61429
1.30989	7.17149	1.61429
1.31996	1.81572	1.65992
1.3299	9.23126	1.65992
1.33994	-11.3047	1.66258
1.34989	4.75026	1.66258
1.35992	-4.70207	1.67808
1.36991	5.50945	1.67808
1.37995	26.293	1.75339
1.38989	16.0003	1.75339
1.39989	20.9661	1.86459
1.40993	3.05572	1.86459
1.4199	-8.46308	1.90446
1.42989	-11.1438	1.90446
1.4399	-13.5898	1.89028
1.4499	-13.4897	1.89028
1.4599	-8.76091	1.80655
1.4699	-6.77606	1.80655
1.47998	-2.59398	1.74896
1.48992	-4.9293	1.74896
1.49987	-2.98816	1.70821
1.50994	-2.46263	1.70821
1.5199	9.65644	1.73833
1.52996	3.27052	1.73833
1.54001	8.26823	1.76181
1.5499	5.77169	1.76181
1.55997	7.56364	1.78485
1.56987	6.97406	1.78485
1.57994	-6.6854	1.80523
1.5899	-13.3233	1.80523
1.59995	-21.3783	1.73789
1.60993	-25.9874	1.73789
1.61988	-22.1302	1.61341
1.62989	-10.8839	1.61341
1.63999	3.76274	1.54297
1.64996	16.6087	1.54297
1.65989	25.1964	1.61828
1.66995	23.6806	1.61828
1.6799	-2.30998	1.72637
1.68991	3.07986	1.72637
1.69987	19.5509	1.7658
1.70989	-9.20516	1.7658
1.71992	1.94475	1.77067
1.72989	1.59899	1.77067
1.73998	-3.43557	1.7813
1.74989	-5.49741	1.7813
1.7599	-13.7441	1.7813
1.76996	3.69136	1.7813
1.77996	-8.93333	1.73257
1.78991	15.7953	1.73257
1.79994	2.78409	1.76093
1.80993	6.38491	1.76093
1.81995	14.708	1.82649
1.82995	8.94093	1.82649
1.83995	1.80429	1.88452
1.84988	3.01157	1.88452
1.8599	10.6443	1.9142
1.86993	-9.15675	1.9142
1.87992	0.257073	1.94654
1.88988	-7.58206	1.94654
1.89994	1.56022	1.94521
1.90989	-2.61557	1.94521
1.91983	-6.16145	1.90047
1.92993	9.98171	1.90047
1.93987	4.73254	1.91642
1.9499	2.48367	1.91642
1.95993	-8.34058	1.90357
1.96992	-11.3161	1.90357
1.9799	-2.80977	1.85218
1.99001	-5.86926	1.85207
1.9999	-2.49019	1.8225
2.00988	13.2525	1.8225
2.01993	-4.32762	1.8225
2.02992	-17.7326	1.8225
2.03988	-4.16339	1.73612
2.04992	-17.2953	1.73612
2.05992	-16.8726	1.64619
2.06987	0.983544	1.64619
2.07992	5.8328	1.60898
2.08994	-11.2974	1.60898
2.09989	8.90633	1.62935
2.10988	4.52629	1.62935
2.11993	7.55119	1.68296
2.12992	10.2473	1.68296
2.1399	18.9696	1.75782
2.1499	18.1575	1.75782
2.15993	-2.46839	1.86547
2.16992	18.8042	1.86547
2.17991	6.33777	1.9111
2.18992	4.7216	1.9111
2.19991	10.6944	1.98154
2.2102	21.1522	1.98505
2.21991	-11.475	2.0409
2.22986	-6.55109	2.0409
2.23986	-7.96376	2.04179
2.25012	-11.5968	2.03878
2.25996	7.93832	1.9554
2.26986	-10.2859	1.9554
2.27992	2.73048	1.94211
2.29011	-16.7682	1.9404
2.29991	-15.9034	1.89072
2.3099	1.6226	1.89072
2.31994	10.0464	1.89648
2.32986	26.6139	1.89648
2.33989	22.7621	2.00147
2.34989	23.9339	2.00147
2.3599	5.15654	2.14013
2.36987	-7.68807	2.14013
2.37993	-10.3486	2.12551
2.38988	-6.09226	2.12551
2.39986	-6.16677	2.09096
2.40984	2.77029	2.09096
2.41984	-4.52738	2.05463
2.42985	-27.1288	2.05463
2.43989	15.1735	2.03381
2.44989	-2.51738	2.03381
2.45982	18.9314	2.11134
2.46991	37.3685	2.11134
2.47982	27.4873	2.33062
2.4899	23.1441	2.33062
2.49988	13.4126	2.4839
2.51006	34.2461	2.48627
2.51987	-11.2565	2.6075
2.52991	2.16478	2.6075
2.5399	-8.94457	2.65003
2.54985	1.14599	2.65003
2.5599	9.14406	2.58801
2.56982	-14.2768	2.58801
2.57983	-8.5638	2.54902
2.58987	-59.3233	2.54902
2.59986	-15.4235	2.34347
2.60981	-41.2422	2.34347
2.61987	-37.404	2.09583
2.62981	-24.1567	2.09583
2.6399	-43.3922	1.84598
2.64985	-39.9132	1.84598
2.65989	-57.1525	1.53987
2.66985	-32.8774	1.53987
2.67994	-37.3324	1.27761
2.68984	-25.5479	1.27761
2.69985	-6.34304	1.12079
2.70982	-16.9772	1.12079
2.7207	12.4332	1.07516
2.72988	-1.35693	1.07516
2.73986	28.3919	1.14427
2.74987	15.8005	1.14427
2.75986	4.54335	1.29888
2.76991	29.4097	1.29888
2.77991	1.73201	1.41804
2.78983	28.7691	1.41804
2.79984	2.43626	1.52879
2.80984	19.1872	1.52879
2.81985	15.2784	1.65771
2.82983	8.7586	1.65771
2.83983	16.9103	1.76181
2.84987	7.89945	1.76181
2.85986	28.5809	1.91376
2.86981	7.15907	1.91376
2.87986	14.1013	2.03071
2.88984	9.39789	2.03071
2.89982	-6.53905	2.1357
2.90981	21.2896	2.1357
2.91984	5.92024	2.15741
2.92985	21.5899	2.15741
2.93986	15.7614	2.28056
2.94984	1.74651	2.28056
2.95981	-6.69821	2.30537
2.96986	-2.77112	2.30537
2.97987	10.6957	2.28145
2.98988	-11.4163	2.28145
2.99982	-10.4675	2.24025
3.00985	-12.6905	2.24025
3.01988	-4.42911	2.1552
3.02981	-11.6031	2.1552
3.03988	-13.0645	2.08609
3.04984	6.72424	2.08609
3.05984	-17.6495	2.06527
3.06989	14.8815	2.06527
3.07983	17.0128	2.1295
3.08993	1.6947	2.1295
3.09984	23.2471	2.21411
3.10983	-6.16997	2.21411
3.11985	-0.716706	2.26373
3.12988	-23.8791	2.26373
3.13989	-6.09367	2.19905
3.14981	-7.6751	2.19905
3.15991	-7.86002	2.14988
3.16988	8.13774	2.14988
3.17988	-26.9161	2.13305
3.18982	2.07648	2.13305
3.19982	-3.80782	2.09672
3.20983	9.0892	2.09672
3.21986	11.2978	2.10425
3.22986	-5.16681	2.10425
3.2399	7.5887	2.15963
3.2499	-18.8235	2.15963
3.25986	-7.45872	2.10026
3.26985	0.145226	2.10026
3.27989	-2.7085	2.03071
3.28989	-8.24219	2.03071
3.29988	-30.8383	1.94477
3.30987	-13.3076	1.94477
3.31988	-17.5122	1.82516
3.32987	-10.8343	1.82516
3.33986	6.939	1.73878
3.34984	-27.0327	1.73878
3.35984	-11.7935	1.65461
3.36982	-19.1277	1.65461
3.37989	-26.9424	1.54208
3.38977	-8.68242	1.54208
3.3999	4.33289	1.47829
3.40986	4.94403	1.47829
3.41988	-20.109	1.44817
3.42981	5.26326	1.44817
3.43987	-7.39114	1.41893
3.44985	1.20973	1.41893
3.45982	1.59753	1.44595
3.46979	16.1459	1.44595
3.47985	10.5738	1.49114
3.48982	-1.28036	1.49114
3.49989	17.9805	1.55537
3.50987	-3.72542	1.55537
3.51984	16.587	1.61828
3.52978	14.0512	1.61828
3.53986	19.959	1.75871
3.54988	31.8053	1.75871
3.55973	5.75003	1.88186
3.56985	10.6339	1.88186
3.57981	18.1362	1.96116
3.58979	12.7306	1.96116
3.5998	-6.65269	2.02983
3.60986	-18.9355	2.02983
3.61982	-11.0581	1.95585
3.63018	-26.3449	1.94981
3.63989	-13.1314	1.84288
3.64986	-1.84566	1.84288
3.6598	3.35959	1.79947
3.66976	5.02112	1.79947
3.67989	6.20927	1.85174
3.6897	20.9921	1.85174
3.69983	1.92544	1.89781
3.70982	16.4376	1.89781
3.71985	19.4387	1.97578
3.7303	-2.35349	1.98089
3.73983	4.28696	2.0316
3.74977	-12.0544	2.0316
3.75969	-1.76679	1.99749
3.76976	-7.42546	1.99749
3.77982	-16.9361	1.93502
3.78973	-12.8211	1.93502
3.79987	-11.052	1.87743
3.80977	-3.72631	1.87743
3.81974	-8.19285	1.81364
3.82985	-5.99371	1.81364
3.83983	2.55735	1.77865
3.84975	-10.0567	1.77865
3.85974	-10.9524	1.74852
3.87017	-3.86866	1.74656
3.87988	-6.89146	1.71042
3.88977	-8.40736	1.71042
3.89984	3.9273	1.671
3.90975	-4.99954	1.671
3.91985	4.22458	1.65328
3.92992	10.2095	1.65328
3.93975	-5.03627	1.69669
3.94977	-6.72643	1.69669
3.95981	2.87453	1.70732
3.96975	6.41748	1.70732
3.97974	6.92322	1.71707
3.98974	7.03282	1.71707
3.99984	-7.05478	1.73302
4.00983	-12.6952	1.73302
4.01984	-14.9032	1.67321
4.02975	4.2516	1.67321
4.03975	-0.347593	1.64043
4.04978	-8.56657	1.64043
4.05983	8.81978	1.59923
4.06977	-18.3137	1.59923
4.0798	-14.4678	1.56999
4.0898	-5.75928	1.56999
4.09977	-1.3671	1.54828
4.10977	13.5855	1.54828
4.11977	27.2004	1.60455
4.12983	16.5912	1.60455
4.13974	17.6084	1.74409
4.14974	12.1632	1.74409
4.15977	12.6776	1.85927
4.16979	-0.280353	1.85927
4.17976	-11.8871	1.96559
4.18986	-1.08284	1.96559
4.19976	7.96742	1.95407
4.20977	5.74294	1.95407
4.21982	7.53763	2.01654
4.22975	1.54126	2.01654
4.23978	-23.8968	1.99084
4.24979	-23.5707	1.99084
4.25979	-15.1597	1.87876
4.26978	-4.42622	1.87876
4.27975	1.62147	1.81276
4.28992	-9.76195	1.81276
4.29979	14.4494	1.8194
4.30986	-10.357	1.8194
4.31978	-15.4511	1.80788
4.32978	12.7045	1.80788
4.33978	3.00388	1.80301
4.34976	6.29136	1.80301
4.35977	4.33101	1.83048
4.36976	4.38169	1.83048
4.37981	12.748	1.85573
4.38973	1.23415	1.85573
4.39978	-0.20318	1.89028
4.40976	14.0931	1.89028
4.41985	16.2575	1.96028
4.42976	7.87449	1.96028
4.43973	10.2047	2.0759
4.45036	16.0615	2.08458
4.45973	19.1873	2.15652
4.46977	15.0578	2.15652
4.47977	-8.86771	2.28145
4.48979	22.7585	2.28145
4.49977	-6.62247	2.34701
4.50979	-7.01373	2.34701
4.51977	2.9833	2.35676
4.52978	20.8389	2.35676
4.53977	26.0907	2.4365
4.54984	-2.94807	2.4365
4.55977	24.1355	2.56807
4.5698	10.8177	2.56807
4.57979	48.7004	2.69743
4.58977	40.067	2.69743
4.59974	24.5314	2.9526
4.60979	37.3952	2.9526
4.61978	0.533004	3.09391
4.62972	28.4647	3.09391
4.63978	-15.7682	3.14131
4.64979	-5.18305	3.14131
4.65975	-14.8494	3.03366
4.66974	-16.7704	3.03366
4.67979	-9.93551	2.91317
4.68978	-43.1255	2.91317
4.69974	-19.9016	2.67705
4.70979	-22.8188	2.67705
4.71972	-1.84472	2.56276
4.72979	-29.724	2.56276
4.7398	-9.09285	2.50915
4.74978	11.6586	2.50915
4.75973	3.08696	2.47637
4.76978	27.4994	2.47637
4.77971	-5.31476	2.54858
4.78981	-8.7208	2.54858
4.7998	-10.4981	2.5127
4.80973	-28.3923	2.5127
4.81984	8.76699	2.39353
4.82978	-39.2312	2.39353
4.83976	-6.45975	2.2974
4.84971	-5.78839	2.2974
4.85978	-12.1146	2.21456
4.86974	17.3582	2.21456
4.87974	8.5343	2.27082
4.88976	22.8568	2.27082
4.89972	15.3418	2.40017
4.90971	27.2792	2.40017
4.91985	27.9499	2.53573
4.9298	8.25758	2.53573
4.93974	17.1586	2.68945
4.94969	3.18398	2.68945
4.95974	31.8592	2.78204
4.96974	-1.98886	2.78204
4.97975	14.6853	2.89944
4.9897	0.477039	2.89944
4.99974	-13.697	2.94462
5.00973	29.9215	2.94462
5.01973	17.6097	3.08018
5.02971	42.1771	3.08018
5.03971	-13.1205	3.20067
5.04972	26.8314	3.20067
5.05975	21.9556	3.22415
5.0698	-23.8701	3.22415
5.0798	-21.1347	3.14309
5.08971	-3.53029	3.14309
5.09971	7.57977	3.01594
5.10976	-51.5394	3.01594
5.11972	-27.7485	2.84805
5.12977	-13.1604	2.84805
5.13981	-14.0169	2.66907
5.14974	-39.5217	2.66907
5.15975	-33.5583	2.51137
5.16975	-6.35668	2.51137
5.17974	-9.68678	2.38201
5.18982	-11.1074	2.38201
5.19975	5.09161	2.36518
5.20976	-25.552	2.36518
5.21977	-21.4864	2.31556
5.22971	3.46285	2.31556
5.23972	2.42855	2.23316
5.24972	-12.3979	2.23316
5.25977	-23.1809	2.1769
5.26971	-20.1726	2.1769
5.27974	-31.4918	1.98996
5.28975	-25.2826	1.98996
5.29975	-8.38312	1.81719
5.30976	-37.5057	1.81719
5.31978	-11.9541	1.6484
5.32968	-22.8713	1.6484
5.33982	-17.2596	1.52436
5.34972	-7.38024	1.52436
5.35972	10.9579	1.49468
5.36972	23.2021	1.49468
5.37972	-1.81258	1.55449
5.3897	24.5613	1.55449
5.3997	10.0756	1.62847
5.40975	-1.79781	1.62847
5.41982	-1.43073	1.64397
5.42973	-9.83427	1.64397
5.43972	2.58705	1.62714
5.44975	-8.67334	1.62714
5.45973	-2.05992	1.61252
5.46971	-0.297018	1.61252
5.47988	-5.34948	1.62094
5.48979	-4.813	1.62094
5.49972	-1.5291	1.61739
5.50981	7.12427	1.61739
5.5197	10.5605	1.66125
5.52977	22.2041	1.66125
5.53972	6.55387	1.77289
5.54974	-9.71557	1.77289
5.5597	-14.4718	1.7844
5.5697	-36.5723	1.7844
5.57974	-21.2655	1.66745
5.58976	-19.0748	1.66745
5.59971	-13.8224	1.535
5.60982	1.35749	1.535
5.61977	-20.7035	1.4557
5.62973	-9.31389	1.4557
5.63979	-16.2242	1.36843
5.64969	-17.1289	1.36843
5.65972	-7.89016	1.27938
5.66971	6.90738	1.27938
5.67973	7.89761	1.24926
5.68973	9.92549	1.24926
5.69973	2.02158	1.29046
5.7097	1.83139	1.29046
5.71972	12.0645	1.33919
5.72975	19.9673	1.33919
5.73969	10.2532	1.42867
5.74972	22.3619	1.42867
5.75972	15.5249	1.5474
5.76973	14.9721	1.5474
5.77973	16.1822	1.61872
5.78973	-1.37542	1.61872
5.7997	4.06045	1.65195
5.80969	-22.9299	1.65195
5.81973	-6.99498	1.59923
5.8297	-10.201	1.59923
5.83973	-9.91887	1.54518
5.84968	7.34815	1.54518
5.85978	-6.62004	1.54917
5.86966	12.8007	1.54917
5.87978	7.47942	1.60233
5.88968	29.4758	1.60233
5.89969	10.8557	1.72238
5.90973	-6.63758	1.72238
5.91971	21.3007	1.78795
5.92977	4.83382	1.78795
5.93972	10.1787	1.81586
5.9497	5.50039	1.81586
5.95971	-6.93356	1.83225
5.96971	-18.3399	1.83225
5.9797	-24.1131	1.7308
5.98971	-8.28342	1.7308
5.99969	-6.18537	1.63866
6.00969	12.0129	1.63866
6.01969	2.71521	1.67277
6.02969	28.7573	1.67277
6.03968	13.9185	1.81054
6.04971	27.8549	1.81054
6.05972	24.9821	1.94123
6.0697	19.1156	1.94123
6.0797	24.2933	2.10514
6.08975	-2.03342	2.10514
6.09967	15.8824	2.18975
6.1097	-1.01151	2.18975
6.11975	-7.55218	2.2119
6.12974	-0.550237	2.2119
6.1397	-6.13561	2.17159
6.1497	-4.68096	2.17159
6.1597	-30.428	2.11798
6.16972	-13.6723	2.11798
6.17973	-7.81687	2.00325
6.18968	1.72951	2.00325
6.19972	-13.6167	1.92838
6.20969	-10.9056	1.92838
6.21962	-9.61333	1.86592
6.22965	-20.1389	1.86592
6.23969	3.27162	1.807
6.24969	2.03262	1.807
6.25969	16.2275	1.82162
6.26968	29.0203	1.82162
6.27977	14.3541	1.94034
6.28973	8.02573	1.94034
6.29971	-2.66425	2.03869
6.30969	18.1518	2.03869
6.31977	0.792142	2.09273
6.32974	5.93665	2.09273
6.33968	9.59048	2.12773
6.3497	6.6691	2.12773
6.35975	-7.59926	2.17734
6.36971	-6.53754	2.17734
6.37966	8.18354	2.1769
6.38966	5.1959	2.1769
6.39969	23.9686	2.22696
6.40972	-13.6395	2.22696
6.4197	12.1332	2.27348
6.42974	7.96455	2.27348
6.43968	-1.99114	2.3036
6.44968	20.7369	2.3036
6.45977	-7.94705	2.35322
6.46972	-2.04706	2.35322
6.47983	9.83782	2.3798
6.48969	20.2591	2.3798
6.49972	16.7102	2.44758
6.50975	11.7021	2.44758
6.51974	11.6311	2.53352
6.52974	-22.8426	2.53352
6.53984	-5.32222	2.49896
6.54972	-27.2514	2.49896
6.55971	-1.69878	2.40239
6.56967	-43.0632	2.40239
6.57972	-23.1854	2.21899
6.58969	-35.7917	2.21899
6.59969	-46.5619	1.96293
6.60971	-15.41	1.96293
6.61972	-28.8193	1.75694
6.62967	-10.3029	1.75694
6.63972	-4.81308	1.66745
6.64972	-7.46781	1.66745
6.65972	-0.117695	1.65815
6.66969	12.3795	1.65815
6.6797	24.7451	1.70644
6.68967	3.06474	1.70644
6.69969	9.80674	1.79149
6.70971	8.34235	1.79149
6.71969	4.7999	1.84377
6.72968	1.55426	1.84377
6.73972	7.35964	1.88939
6.74973	15.5068	1.88939
6.75964	6.79473	1.97977
6.76971	22.1217	1.97977
6.77973	6.46808	2.08653
6.78967	19.569	2.08653
6.79968	24.0774	2.16716
6.8097	13.2441	2.16716
6.81971	17.745	2.27392
6.82968	3.69067	2.27392
6.83966	7.8917	2.33993
6.84974	-19.3909	2.33993
6.8597	9.19956	2.32043
6.8697	-2.42107	2.32043
6.87974	2.27247	2.32929
6.88972	-14.9644	2.32929
6.89966	-22.5351	2.26329
6.90962	-7.20656	2.26329
6.91967	-15.3226	2.17114
6.92971	4.45686	2.17114
6.93976	-23.6146	2.11001
6.94967	-0.808824	2.11001
6.95971	4.74795	2.08166
6.96966	-16.4764	2.08166
6.97967	17.5546	2.04267
6.98966	-6.19272	2.04267
6.99967	0.703812	2.0347
7.00968	-12.9024	2.0347
7.01962	-5.91054	1.95673
7.02965	-11.4718	1.95673
7.03965	-30.6101	1.8544
7.04968	2.94619	1.8544
7.05967	-15.8693	1.7751
7.06967	-3.62546	1.7751
7.0796	-10.1459	1.74099
7.08965	-3.2	1.74099
7.09967	2.53688	1.69315
7.10967	-6.92945	1.69315
7.11969	19.0606	1.72017
7.12973	7.0859	1.72017
7.13964	18.5131	1.78618
7.1497	1.37117	1.78618
7.15961	-1.80094	1.81807
7.16969	-0.672485	1.81807
7.17968	-1.85174	1.83225
7.18962	16.9748	1.83225
7.19966	14.6505	1.90401
7.20965	7.80257	1.90401
7.21971	-0.852427	1.97755
7.22958	-3.66716	1.97755
7.23968	-3.55604	1.95939
7.24966	-11.0042	1.95939
7.25965	-1.25125	1.89515
7.26967	-21.8505	1.89515
7.27967	-7.79326	1.80611
7.28968	-23.8988	1.80611
7.29967	8.07485	1.73523
7.30966	-6.76602	1.73523
7.31964	-3.20426	1.7215
7.32962	16.4994	1.7215
7.33964	-8.78189	1.76668
7.34968	11.0178	1.76668
7.35967	5.5528	1.82339
7.36966	24.7027	1.82339
7.37965	17.4425	1.97489
7.38983	24.8783	1.97489
7.39968	22.5069	2.11488
7.40969	9.99253	2.11488
7.41965	17.3363	2.23449
7.42965	-3.46701	2.23449
7.43966	-2.40369	2.23671
7.44966	7.85618	2.23671
7.45971	10.9748	2.26063
7.46962	-10.5635	2.26063
7.47973	-37.8298	2.21987
7.48965	-6.05491	2.21987
7.49964	-25.4646	2.10469
7.50964	-3.93984	2.10469
7.51968	17.3199	2.08299
7.52964	9.39535	2.08299
7.53964	8.25351	2.16981
7.54965	-1.33923	2.16981
7.55964	29.8666	2.25797
7.56963	10.4989	2.25797
7.57957	19.143	2.3572
7.58965	16.2685	2.3572
7.59965	0.65454	2.45466
7.60964	6.04707	2.45466
7.61963	7.10064	2.46485
7.62967	-1.17806	2.46485
7.63965	-12.5559	2.43694
7.64961	-34.5679	2.43694
7.65965	-17.6718	2.28056
7.66964	-23.0884	2.28056
7.67966	-10.6275	2.14811
7.68965	-4.07601	2.14811
7.69964	-21.4502	2.06881
7.70963	-26.0384	2.06881
7.71968	-7.16022	1.91066
7.72968	-14.8442	1.91066
7.73967	-23.4809	1.80877
7.74967	-14.113	1.80877
7.75963	-18.8583	1.6741
7.76968	-34.384	1.6741
7.77967	-16.271	1.50709
7.78962	-37.2937	1.50709
7.79968	-13.2403	1.37109
7.80964	-4.33178	1.37109
7.81963	5.25929	1.32679
7.82967	6.01331	1.32679
7.83968	2.71282	1.34052
7.84971	4.2641	1.34052
7.8596	-8.01841	1.38216
7.86961	4.8424	1.38216
7.8797	20.13	1.41937
7.88971	6.86257	1.41937
7.89961	-0.25636	1.47918
7.90964	2.78927	1.47918
7.91965	-9.63786	1.48316
7.92961	-5.233	1.48316
7.9397	-3.65715	1.46013
7.94966	-11.2807	1.46013
7.95958	0.109595	1.46722
7.96961	8.04085	1.46722
7.97961	-5.16912	1.49114
7.98966	16.2557	1.49114
7.99965	15.3307	1.58993
8.00965	20.8933	1.58993
8.01959	6.89948	1.69758
8.02961	13.5164	1.69758
8.03961	21.194	1.77865
8.04964	11.3566	1.77865
8.05959	15.6097	1.83712
8.06964	0.830517	1.83712
8.07959	-1.21161	1.84465
8.08963	-12.2596	1.84465
8.09964	-17.0805	1.80744
8.10962	-12.7398	1.80744
8.11962	-4.99837	1.74675
8.12968	23.5469	1.74675
8.13964	-3.94495	1.80345
8.1496	14.6067	1.80345
8.15958	3.21027	1.89072
8.16961	-1.10092	1.89072
8.17959	-0.236515	1.9399
8.18968	-3.99358	1.9399
8.19961	11.8311	1.9554
8.20959	0.275006	1.9554
8.21964	-4.82185	1.9873
8.22958	-1.40688	1.9873
8.23965	-29.089	1.9554
8.2496	-8.56951	1.9554
8.25962	-7.16667	1.88585
8.26968	-4.39532	1.88585
8.27962	-13.265	1.83092
8.28963	-3.48721	1.83092
8.29961	-3.95487	1.76403
8.30962	-16.4475	1.76403
8.31961	3.12496	1.73302
8.32963	5.5764	1.73302
8.33959	10.7367	1.72903
8.34958	-9.05586	1.72903
8.35965	4.56798	1.77067
8.36964	2.35917	1.77067
8.37958	1.1245	1.77776
8.3896	24.3209	1.77776
8.39961	16.9014	1.86547
8.40961	31.2221	1.86547
8.41965	19.164	2.00901
8.42964	5.8416	2.00901
8.43961	7.0496	2.12551
8.44966	7.17109	2.12551
8.45961	11.9946	2.17469
8.46959	20.3262	2.17469
8.47965	6.45431	2.28056
8.48966	8.95434	2.28056
8.49964	-14.9151	2.31733
8.50964	-19.1077	2.31733
8.51965	4.07542	2.23671
8.52961	-28.5703	2.23671
8.53962	4.89118	2.18709
8.54961	-18.0497	2.18709
8.55961	-8.58867	2.12773
8.5696	-26.1553	2.12773
8.57959	-20.8726	1.97179
8.5896	-22.2241	1.97179
8.59959	-19.9159	1.83313
8.60957	-10.1697	1.83313
8.61964	-20.8492	1.71219
8.62959	12.0448	1.71219
8.63964	-4.79142	1.68163
8.6496	13.8606	1.68163
8.65959	32.7252	1.76314
8.66958	17.8992	1.76314
8.67957	26.8444	1.94831
8.6896	27.176	1.94831
8.6996	25.2558	2.11045
8.70959	8.13915	2.11045
8.7196	25.0805	2.23051
8.72959	2.77047	2.23051
8.73962	-12.4206	2.25974
8.74959	-10.5264	2.25974
8.75958	-29.0469	2.18443
8.76962	-16.8471	2.18443
8.77966	-4.93272	2.05995
8.78959	-3.12954	2.05995
8.79956	-19.0052	2.0285
8.8096	4.59182	2.0285
8.81958	-11.3341	1.99084
8.82956	5.33737	1.99084
8.8396	9.60359	2.00458
8.84957	8.31848	2.00458
8.8597	-10.5384	2.02052
8.86961	-16.4855	2.02052
8.87961	7.46875	2.0028
8.88969	-29.7608	2.0028
8.89966	12.3334	1.97179
8.90961	18.2119	1.97179
8.91963	-14.0576	2.01122
8.92957	8.68114	2.01122
8.93964	-25.1618	1.96559
8.94961	-2.22403	1.96559
8.95959	-8.73535	1.9049
8.96965	14.8789	1.9049
8.9796	11.326	1.95673
8.9896	7.74355	1.95673
8.99962	18.6159	2.04267
9.00955	2.84327	2.04267
